Pi,B0,B1,chi_q,R_g,case
0.0001,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00010863536378741002,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0001180164226522293,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00012820757007713678,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0001392787601562962,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00015130598777438666,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00016437181025083926,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00017856591402995074,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00019398573030675082,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00021073710381440283,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00022893501936382867,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00024870439112267313,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.000270180920051379,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00029351202538198704,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0003188578565335172,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0003463923924099247,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00037630463562643456,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00040879990986166496,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00044410126924082443,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.00048245102942427536,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0005241124309111661,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0005693714459753834,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0006185387416369951,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0006719518121434184,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0007299772955980967,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0007930134906384898,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0008614930904383629,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0009358861528011178,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0010167033267314903,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0011044993576334544,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0011998768951947114,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0013034906300958566,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.001416051787939437,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0015383330112461312,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0016711736630290555,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0018154855883510022,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.0019722593734131126,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.002142571145138628,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.002327589957925428,0.0,0.0,0.5,1.0,symmetric Robin uniform source
0.002528585818271515,0.0,0.0,0.5,0.9999999999999999,symmetric Robin uniform source
0.002746938402356119,0.0,0.0,0.5,0.9999999999999999,symmetric Robin uniform source
0.0029841465264156385,0.0,0.0,0.5,0.9999999999999998,symmetric Robin uniform source
0.0032418384349209924,0.0,0.0,0.5,0.9999999999999998,symmetric Robin uniform source
0.003521782977176503,0.0,0.0,0.5,0.9999999999999997,symmetric Robin uniform source
0.0038259017490587734,0.0,0.0,0.5,0.9999999999999997,symmetric Robin uniform source
0.004156282283238882,0.0,0.0,0.5,0.9999999999999996,symmetric Robin uniform source
0.004515192378428235,0.0,0.0,0.5,0.9999999999999996,symmetric Robin uniform source
0.004905095666006929,0.0,0.0,0.5,0.9999999999999992,symmetric Robin uniform source
0.00532866852088711,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.005788818432690913,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.0062887039633464275,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.00683175642809467,0.0,0.0,0.5,0.9999999999999991,symmetric Robin uniform source
0.007421703448730414,0.0,0.0,0.5,0.999999999999999,symmetric Robin uniform source
0.00806259454075104,0.0,0.0,0.5,0.999999999999999,symmetric Robin uniform source
0.008758828910048764,0.0,0.0,0.5,0.999999999999999,symmetric Robin uniform source
0.009515185649948323,0.0,0.0,0.5,0.9999999999999988,symmetric Robin uniform source
0.010336856545868797,0.0,0.0,0.5,0.9999999999999987,symmetric Robin uniform source
0.011229481712787273,0.0,0.0,0.5,0.9999999999999986,symmetric Robin uniform source
0.01219918831012715,0.0,0.0,0.5,0.9999999999999982,symmetric Robin uniform source
0.01325263259981784,0.0,0.0,0.5,0.999999999999998,symmetric Robin uniform source
0.014397045636221005,0.0,0.0,0.5,0.9999999999999978,symmetric Robin uniform source
0.01564028290154813,0.0,0.0,0.5,0.9999999999999977,symmetric Robin uniform source
0.016990878227476913,0.0,0.0,0.5,0.9999999999999976,symmetric Robin uniform source
0.01845810237309541,0.0,0.0,0.5,0.9999999999999972,symmetric Robin uniform source
0.02005202666126476,0.0,0.0,0.5,0.999999999999997,symmetric Robin uniform source
0.021783592110213423,0.0,0.0,0.5,0.9999999999999967,symmetric Robin uniform source
0.02366468453489592,0.0,0.0,0.5,0.9999999999999964,symmetric Robin uniform source
0.02570821613362717,0.0,0.0,0.5,0.9999999999999961,symmetric Robin uniform source
0.027928214120019515,0.0,0.0,0.5,0.9999999999999957,symmetric Robin uniform source
0.030339917008610013,0.0,0.0,0.5,0.9999999999999953,symmetric Robin uniform source
0.03295987921510181,0.0,0.0,0.5,0.9999999999999948,symmetric Robin uniform source
0.03580608468921683,0.0,0.0,0.5,0.9999999999999944,symmetric Robin uniform source
0.038898070360158826,0.0,0.0,0.5,0.9999999999999939,symmetric Robin uniform source
0.042257060242041254,0.0,0.0,0.5,0.9999999999999934,symmetric Robin uniform source
0.04590611111980657,0.0,0.0,0.5,0.9999999999999928,symmetric Robin uniform source
0.0498702708156546,0.0,0.0,0.5,0.9999999999999922,symmetric Robin uniform source
0.05417675012235295,0.0,0.0,0.5,0.9999999999999916,symmetric Robin uniform source
0.058855109583614236,0.0,0.0,0.5,0.9999999999999908,symmetric Robin uniform source
0.0639374624036382,0.0,0.0,0.5,0.99999999999999,symmetric Robin uniform source
0.06945869487863095,0.0,0.0,0.5,0.9999999999999892,symmetric Robin uniform source
0.07545670586338787,0.0,0.0,0.5,0.9999999999999882,symmetric Robin uniform source
0.08197266691668736,0.0,0.0,0.5,0.9999999999999871,symmetric Robin uniform source
0.08905130491118532,0.0,0.0,0.5,0.999999999999986,symmetric Robin uniform source
0.09674120904770199,0.0,0.0,0.5,0.9999999999999849,symmetric Robin uniform source
0.10509516438130988,0.0,0.0,0.5,0.9999999999999835,symmetric Robin uniform source
0.11417051414861255,0.0,0.0,0.5,0.999999999999982,symmetric Robin uniform source
0.12402955338330181,0.0,0.0,0.5,0.9999999999999805,symmetric Robin uniform source
0.13473995652184997,0.0,0.0,0.5,0.9999999999999788,symmetric Robin uniform source
0.14637524193450982,0.0,0.0,0.5,0.999999999999977,symmetric Robin uniform source
0.1590152765702563,0.0,0.0,0.5,0.9999999999999749,symmetric Robin uniform source
0.17274682417965428,0.0,0.0,0.5,0.9999999999999727,symmetric Robin uniform source
0.1876641408787652,0.0,0.0,0.5,0.9999999999999702,symmetric Robin uniform source
0.20386962214216423,0.0,0.0,0.5,0.9999999999999678,symmetric Robin uniform source
0.2214745056661583,0.0,0.0,0.5,0.999999999999965,symmetric Robin uniform source
0.24059963492679937,0.0,0.0,0.5,0.9999999999999619,symmetric Robin uniform source
0.26137628867390916,0.0,0.0,0.5,0.9999999999999587,symmetric Robin uniform source
0.28394708205493224,0.0,0.0,0.5,0.9999999999999551,symmetric Robin uniform source
0.30846694555411125,0.0,0.0,0.5,0.9999999999999512,symmetric Robin uniform source
0.33510418846662116,0.0,0.0,0.5,0.9999999999999469,symmetric Robin uniform source
0.36404165420756235,0.0,0.0,0.5,0.9999999999999424,symmetric Robin uniform source
0.3954779753860906,0.0,0.0,0.5,0.9999999999999374,symmetric Robin uniform source
0.4296289372597634,0.0,0.0,0.5,0.9999999999999318,symmetric Robin uniform source
0.466728958928128,0.0,0.0,0.5,0.9999999999999261,symmetric Robin uniform source
0.5070327024327639,0.0,0.0,0.5,0.9999999999999196,symmetric Robin uniform source
0.5508168208089692,0.0,0.0,0.5,0.9999999999999127,symmetric Robin uniform source
0.5983818570880701,0.0,0.0,0.5,0.9999999999999053,symmetric Robin uniform source
0.6500543072854856,0.0,0.0,0.5,0.999999999999897,symmetric Robin uniform source
0.7061888615353162,0.0,0.0,0.5,0.9999999999998879,symmetric Robin uniform source
0.7671708387550601,0.0,0.0,0.5,0.9999999999998782,symmetric Robin uniform source
0.8334188315524842,0.0,0.0,0.5,0.9999999999998678,symmetric Robin uniform source
0.9053875795298242,0.0,0.0,0.5,0.9999999999998566,symmetric Robin uniform source
0.9835710907082518,0.0,0.0,0.5,0.9999999999998441,symmetric Robin uniform source
1.068506032498706,0.0,0.0,0.5,0.9999999999998306,symmetric Robin uniform source
1.1607754154953907,0.0,0.0,0.5,0.9999999999998159,symmetric Robin uniform source
1.2610125953782378,0.0,0.0,0.5,0.9999999999997999,symmetric Robin uniform source
1.3699056203942124,0.0,0.0,0.5,0.9999999999997828,symmetric Robin uniform source
1.488201954259429,0.0,0.0,0.5,0.9999999999997639,symmetric Robin uniform source
1.616713606901076,0.0,0.0,0.5,0.9999999999997434,symmetric Robin uniform source
1.7563227082575454,0.0,0.0,0.5,0.9999999999997212,symmetric Robin uniform source
1.9079875633964765,0.0,0.0,0.5,0.9999999999996971,symmetric Robin uniform source
2.0727492305143027,0.0,0.0,0.5,0.9999999999996709,symmetric Robin uniform source
2.251738666969955,0.0,0.0,0.5,0.9999999999996425,symmetric Robin uniform source
2.4461844924045875,0.0,0.0,0.5,0.9999999999996115,symmetric Robin uniform source
2.6574214222349384,0.0,0.0,0.5,0.9999999999995781,symmetric Robin uniform source
2.8868994294094907,0.0,0.0,0.5,0.9999999999995415,symmetric Robin uniform source
3.1361936973156643,0.0,0.0,0.5,0.999999999999502,symmetric Robin uniform source
3.4070154321567037,0.0,0.0,0.5,0.999999999999459,symmetric Robin uniform source
3.701223609016635,0.0,0.0,0.5,0.9999999999994122,symmetric Robin uniform source
4.020837732240728,0.0,0.0,0.5,0.9999999999993615,symmetric Robin uniform source
4.368051697721162,0.0,0.0,0.5,0.9999999999993064,symmetric Robin uniform source
4.745248852241524,0.0,0.0,0.5,0.9999999999992464,symmetric Robin uniform source
5.155018353250489,0.0,0.0,0.5,0.9999999999991814,symmetric Robin uniform source
5.600172941361422,0.0,0.0,0.5,0.9999999999991107,symmetric Robin uniform source
6.083768247572081,0.0,0.0,0.5,0.9999999999990339,symmetric Robin uniform source
6.609123767732884,0.0,0.0,0.5,0.9999999999989505,symmetric Robin uniform source
7.179845648236798,0.0,0.0,0.5,0.9999999999988597,symmetric Robin uniform source
7.799851439336574,0.0,0.0,0.5,0.9999999999987613,symmetric Robin uniform source
8.473396986000823,0.0,0.0,0.5,0.9999999999986544,symmetric Robin uniform source
9.20510564089343,0.0,0.0,0.5,0.9999999999985381,symmetric Robin uniform source
10.0,0.0,0.0,0.5,0.9999999999984119,symmetric Robin uniform source
0.0001,0.1,0.1,0.5,0.9999900033673494,symmetric Robin uniform source
0.00010863536378741002,0.1,0.1,0.5,0.9999891403908502,symmetric Robin uniform source
0.0001180164226522293,0.1,0.1,0.5,0.9999882029343782,symmetric Robin uniform source
0.00012820757007713678,0.1,0.1,0.5,0.9999871845721302,symmetric Robin uniform source
0.0001392787601562962,0.1,0.1,0.5,0.9999860783241417,symmetric Robin uniform source
0.00015130598777438666,0.1,0.1,0.5,0.9999848766085138,symmetric Robin uniform source
0.00016437181025083926,0.1,0.1,0.5,0.9999835711895204,symmetric Robin uniform source
0.00017856591402995074,0.1,0.1,0.5,0.9999821531212469,symmetric Robin uniform source
0.00019398573030675082,0.1,0.1,0.5,0.9999806126863737,symmetric Robin uniform source
0.00021073710381440283,0.1,0.1,0.5,0.9999789393296848,symmetric Robin uniform source
0.00022893501936382867,0.1,0.1,0.5,0.9999771215858545,symmetric Robin uniform source
0.00024870439112267313,0.1,0.1,0.5,0.9999751470010171,symmetric Robin uniform source
0.000270180920051379,0.1,0.1,0.5,0.9999730020475865,symmetric Robin uniform source
0.00029351202538198704,0.1,0.1,0.5,0.9999706720317487,symmetric Robin uniform source
0.0003188578565335172,0.1,0.1,0.5,0.9999681409929968,symmetric Robin uniform source
0.0003463923924099247,0.1,0.1,0.5,0.9999653915950291,symmetric Robin uniform source
0.00037630463562643456,0.1,0.1,0.5,0.9999624050072657,symmetric Robin uniform source
0.00040879990986166496,0.1,0.1,0.5,0.9999591607761833,symmetric Robin uniform source
0.00044410126924082443,0.1,0.1,0.5,0.9999556366855886,symmetric Robin uniform source
0.00048245102942427536,0.1,0.1,0.5,0.999951808604891,symmetric Robin uniform source
0.0005241124309111661,0.1,0.1,0.5,0.999947650324333,symmetric Robin uniform source
0.0005693714459753834,0.1,0.1,0.5,0.999943133376072,symmetric Robin uniform source
0.0006185387416369951,0.1,0.1,0.5,0.9999382268398891,symmetric Robin uniform source
0.0006719518121434184,0.1,0.1,0.5,0.9999328971322156,symmetric Robin uniform source
0.0007299772955980967,0.1,0.1,0.5,0.9999271077770429,symmetric Robin uniform source
0.0007930134906384898,0.1,0.1,0.5,0.9999208191571686,symmetric Robin uniform source
0.0008614930904383629,0.1,0.1,0.5,0.9999139882440903,symmetric Robin uniform source
0.0009358861528011178,0.1,0.1,0.5,0.9999065683047264,symmetric Robin uniform source
0.0010167033267314903,0.1,0.1,0.5,0.99989850858298,symmetric Robin uniform source
0.0011044993576334544,0.1,0.1,0.5,0.9998897539539947,symmetric Robin uniform source
0.0011998768951947114,0.1,0.1,0.5,0.9998802445487716,symmetric Robin uniform source
0.0013034906300958566,0.1,0.1,0.5,0.9998699153466171,symmetric Robin uniform source
0.001416051787939437,0.1,0.1,0.5,0.9998586957326772,symmetric Robin uniform source
0.0015383330112461312,0.1,0.1,0.5,0.9998465090175715,symmetric Robin uniform source
0.0016711736630290555,0.1,0.1,0.5,0.9998332719159118,symmetric Robin uniform source
0.0018154855883510022,0.1,0.1,0.5,0.9998188939801868,symmetric Robin uniform source
0.0019722593734131126,0.1,0.1,0.5,0.9998032769862175,symmetric Robin uniform source
0.002142571145138628,0.1,0.1,0.5,0.999786314266065,symmetric Robin uniform source
0.002327589957925428,0.1,0.1,0.5,0.9997678899839146,symmetric Robin uniform source
0.002528585818271515,0.1,0.1,0.5,0.9997478783500924,symmetric Robin uniform source
0.002746938402356119,0.1,0.1,0.5,0.9997261427679576,symmetric Robin uniform source
0.0029841465264156385,0.1,0.1,0.5,0.9997025349079748,symmetric Robin uniform source
0.0032418384349209924,0.1,0.1,0.5,0.9996768937027838,symmetric Robin uniform source
0.003521782977176503,0.1,0.1,0.5,0.9996490442565791,symmetric Robin uniform source
0.0038259017490587734,0.1,0.1,0.5,0.9996187966615298,symmetric Robin uniform source
0.004156282283238882,0.1,0.1,0.5,0.9995859447133854,symmetric Robin uniform source
0.004515192378428235,0.1,0.1,0.5,0.9995502645177345,symmetric Robin uniform source
0.004905095666006929,0.1,0.1,0.5,0.9995115129776845,symmetric Robin uniform source
0.00532866852088711,0.1,0.1,0.5,0.9994694261529502,symmetric Robin uniform source
0.005788818432690913,0.1,0.1,0.5,0.9994237174795169,symmetric Robin uniform source
0.0062887039633464275,0.1,0.1,0.5,0.9993740758381241,symmetric Robin uniform source
0.00683175642809467,0.1,0.1,0.5,0.9993201634588597,symmetric Robin uniform source
0.007421703448730414,0.1,0.1,0.5,0.9992616136480872,symmetric Robin uniform source
0.00806259454075104,0.1,0.1,0.5,0.9991980283227906,symmetric Robin uniform source
0.008758828910048764,0.1,0.1,0.5,0.9991289753361949,symmetric Robin uniform source
0.009515185649948323,0.1,0.1,0.5,0.9990539855771776,symmetric Robin uniform source
0.010336856545868797,0.1,0.1,0.5,0.9989725498245663,symmetric Robin uniform source
0.011229481712787273,0.1,0.1,0.5,0.9988841153358389,symmetric Robin uniform source
0.01219918831012715,0.1,0.1,0.5,0.998788082148093,symmetric Robin uniform source
0.01325263259981784,0.1,0.1,0.5,0.9986837990673185,symmetric Robin uniform source
0.014397045636221005,0.1,0.1,0.5,0.9985705593200681,symmetric Robin uniform source
0.01564028290154813,0.1,0.1,0.5,0.9984475958395045,symmetric Robin uniform source
0.016990878227476913,0.1,0.1,0.5,0.9983140761555329,symmetric Robin uniform source
0.01845810237309541,0.1,0.1,0.5,0.9981690968562849,symmetric Robin uniform source
0.02005202666126476,0.1,0.1,0.5,0.9980116775855723,symmetric Robin uniform source
0.021783592110213423,0.1,0.1,0.5,0.9978407545381051,symmetric Robin uniform source
0.02366468453489592,0.1,0.1,0.5,0.9976551734112432,symmetric Robin uniform source
0.02570821613362717,0.1,0.1,0.5,0.9974536817688116,symmetric Robin uniform source
0.027928214120019515,0.1,0.1,0.5,0.9972349207691316,symmetric Robin uniform source
0.030339917008610013,0.1,0.1,0.5,0.9969974162058878,symmetric Robin uniform source
0.03295987921510181,0.1,0.1,0.5,0.9967395688068781,symmetric Robin uniform source
0.03580608468921683,0.1,0.1,0.5,0.9964596437321502,symmetric Robin uniform source
0.038898070360158826,0.1,0.1,0.5,0.9961557592096628,symmetric Robin uniform source
0.042257060242041254,0.1,0.1,0.5,0.9958258742435284,symmetric Robin uniform source
0.04590611111980657,0.1,0.1,0.5,0.9954677753272475,symmetric Robin uniform source
0.0498702708156546,0.1,0.1,0.5,0.995079062092233,symmetric Robin uniform source
0.05417675012235295,0.1,0.1,0.5,0.994657131820389,symmetric Robin uniform source
0.058855109583614236,0.1,0.1,0.5,0.9941991627485863,symmetric Robin uniform source
0.0639374624036382,0.1,0.1,0.5,0.9937020960924866,symmetric Robin uniform source
0.06945869487863095,0.1,0.1,0.5,0.9931626167172222,symmetric Robin uniform source
0.07545670586338787,0.1,0.1,0.5,0.9925771323827989,symmetric Robin uniform source
0.08197266691668736,0.1,0.1,0.5,0.9919417514926432,symmetric Robin uniform source
0.08905130491118532,0.1,0.1,0.5,0.9912522592743421,symmetric Robin uniform source
0.09674120904770199,0.1,0.1,0.5,0.9905040923223765,symmetric Robin uniform source
0.10509516438130988,0.1,0.1,0.5,0.9896923114336237,symmetric Robin uniform source
0.11417051414861255,0.1,0.1,0.5,0.9888115726680028,symmetric Robin uniform source
0.12402955338330181,0.1,0.1,0.5,0.9878560965694134,symmetric Robin uniform source
0.13473995652184997,0.1,0.1,0.5,0.9868196354869957,symmetric Robin uniform source
0.14637524193450982,0.1,0.1,0.5,0.9856954389447954,symmetric Robin uniform source
0.1590152765702563,0.1,0.1,0.5,0.9844762170205273,symmetric Robin uniform source
0.17274682417965428,0.1,0.1,0.5,0.9831541017126231,symmetric Robin uniform source
0.1876641408787652,0.1,0.1,0.5,0.9817206063005122,symmetric Robin uniform source
0.20386962214216423,0.1,0.1,0.5,0.9801665827372192,symmetric Robin uniform source
0.2214745056661583,0.1,0.1,0.5,0.9784821771568019,symmetric Robin uniform source
0.24059963492679937,0.1,0.1,0.5,0.976656783632637,symmetric Robin uniform source
0.26137628867390916,0.1,0.1,0.5,0.9746789963867183,symmetric Robin uniform source
0.28394708205493224,0.1,0.1,0.5,0.9725365607258586,symmetric Robin uniform source
0.30846694555411125,0.1,0.1,0.5,0.9702163230691345,symmetric Robin uniform source
0.33510418846662116,0.1,0.1,0.5,0.9677041805337819,symmetric Robin uniform source
0.36404165420756235,0.1,0.1,0.5,0.9649850306662512,symmetric Robin uniform source
0.3954779753860906,0.1,0.1,0.5,0.9620427220437819,symmetric Robin uniform source
0.4296289372597634,0.1,0.1,0.5,0.9588600066324536,symmetric Robin uniform source
0.466728958928128,0.1,0.1,0.5,0.9554184949728791,symmetric Robin uniform source
0.5070327024327639,0.1,0.1,0.5,0.9516986154770849,symmetric Robin uniform source
0.5508168208089692,0.1,0.1,0.5,0.9476795793617983,symmetric Robin uniform source
0.5983818570880701,0.1,0.1,0.5,0.9433393530160469,symmetric Robin uniform source
0.6500543072854856,0.1,0.1,0.5,0.9386546399057545,symmetric Robin uniform source
0.7061888615353162,0.1,0.1,0.5,0.9336008744550383,symmetric Robin uniform source
0.7671708387550601,0.1,0.1,0.5,0.9281522307122095,symmetric Robin uniform source
0.8334188315524842,0.1,0.1,0.5,0.9222816490052941,symmetric Robin uniform source
0.9053875795298242,0.1,0.1,0.5,0.9159608842123235,symmetric Robin uniform source
0.9835710907082518,0.1,0.1,0.5,0.9091605797077845,symmetric Robin uniform source
1.068506032498706,0.1,0.1,0.5,0.9018503714868312,symmetric Robin uniform source
